Timestamp,What is your participant ID? (ask facilitator),What is your occupation? (Select all that apply),How many years of experience do you have writing documents with TeX or LaTeX?,How often do you write formulas using TeX/LaTeX?,I feel comfortable using TeX or LaTeX to write mathematical formulae.,How many years of experience do you have programming with JavaScript/TypeScript?,How often do you write JavaScript/TypeScript code?,I feel comfortable writing JavaScript/TypeScript code.,Please describe your level of experience with React.,"Do we have your permission to link the information in this questionnaire will to (anonymized) recordings, questionnaire responses, and interaction data from your usability study session?"
2/23/2026 11:39:18,21,"Graduate student, Software developer",3-5 years,Less than monthly,3,More than 5 years,Weekly,5,Have written substantial amounts of React in a professional context,Yes
2/25/2026 17:07:07,88,Graduate student,More than 5 years,Monthly,5,1-2 year,Monthly,4,Have written small amounts of React in personal or academic projects,Yes
2/25/2026 18:09:39,57,"Undergraduate student, Graduate student",3-5 years,Weekly,4,1-2 year,Weekly,1,Have written small amounts of React in personal or academic projects,Yes
2/26/2026 7:11:10,48,"Undergraduate student, Software developer",1-2 year,Weekly,4,1-2 year,Monthly,3,Have written small amounts of React in personal or academic projects,Yes
2/26/2026 8:04:02,55,"Undergraduate student, Software developer",1-2 year,Monthly,4,1-2 year,Monthly,4,Have written small amounts of React in personal or academic projects,Yes
2/26/2026 8:36:54,45,Software developer,Less than 1 year,Less than monthly,2,1-2 year,Daily,4,Have written substantial amounts of React in a professional context,Yes
2/26/2026 17:05:46,11,"Graduate student, Software developer",3-5 years,Weekly,3,1-2 year,Monthly,3,Have written substantial amounts of React in personal or academic projects,Yes
2/27/2026 6:35:36,79,Undergraduate student,3-5 years,Weekly,4,3-5 years,Monthly,4,Have written substantial amounts of React in a professional context,Yes
2/27/2026 7:06:06,29,"Undergraduate student, Graduate student, Teaching Assistant",3-5 years,Weekly,5,1-2 year,Monthly,2,Have written substantial amounts of React in personal or academic projects,Yes
2/27/2026 10:05:49,17,Undergraduate student,1-2 year,Monthly,5,1-2 year,Less than monthly,2,Have written small amounts of React in personal or academic projects,Yes
2/28/2026 7:05:16,23,Undergraduate student,3-5 years,Weekly,3,More than 5 years,Monthly,4,Have written substantial amounts of React in personal or academic projects,Yes
2/28/2026 10:05:26,19,"Undergraduate student, Graduate student",1-2 year,Weekly,4,3-5 years,Weekly,4,Have written substantial amounts of React in a professional context,Yes
2/28/2026 11:05:51,14,Graduate student,Less than 1 year,Less than monthly,3,3-5 years,Weekly,5,Have written substantial amounts of React in a professional context,Yes
2/28/2026 13:04:37,87,"Undergraduate student, Graduate student",3-5 years,Weekly,3,3-5 years,Weekly,4,Have written substantial amounts of React in personal or academic projects,Yes
3/1/2026 11:34:47,80,Undergraduate student,1-2 year,Weekly,5,3-5 years,Weekly,5,Have written substantial amounts of React in a professional context,Yes
3/1/2026 13:37:35,50,"Undergraduate student, Software developer, Academic researcher",1-2 year,Weekly,5,1-2 year,Weekly,3,Have written small amounts of React in personal or academic projects,Yes
3/3/2026 17:05:31,30,Undergraduate student,1-2 year,Weekly,4,1-2 year,Weekly,3,Have written small amounts of React in personal or academic projects,Yes
3/5/2026 7:34:59,20,Undergraduate student,1-2 year,Monthly,4,1-2 year,Monthly,3,Have written substantial amounts of React in personal or academic projects,Yes
3/20/2026 10:05:38,99,Undergraduate student,3-5 years,Monthly,5,1-2 year,Weekly,5,Have written substantial amounts of React in personal or academic projects,Yes