Timestamp,Fill in your participant ID,"With which library was it easier to complete the task?
1 = Library A, 4 = About the same, 7 = Library B.",Explain your answer (1-2 sentences),"Which library seemed better suited for the task?
1 = Library A, 4 = About the same, 7 = Library B.",Explain your answer (1-2 sentences),"Which library better matched the language you would use to describe the task?
1 = Library A, 4 = About the same, 7 = Library B.",Explain your answer (1-2 sentences)
2/23/2026 14:37:02,21,7,"It had clear configs,  which was very intuitive as a developer",6,"clear like json, fill in values and the formula container took care of it",7,"The library had clear partitions for variables, so could find and update easily"
2/25/2026 20:52:40,88,7,"Library B requires less code, and it doesn't require developers to manually link the Latex element and React element.",7,"For such an easy task with only 3 variables in the equation, m, k, v, task B will be simpler to use.",7,"Library B only requires developers to focus on the variables, the equation, and the appearance of the visualization. However, with Library A, developers need to deal with some other code, e.g. React useState, hovering behaviors and connection between Latex and React."
2/25/2026 21:37:16,57,7,The syntax of A was way more intuitive + the semi auto alignment helped.,7,B seemed more geared towards latex users than. programmers. ,7,I am not used to thinking of latex as a programming language. B minimised this gap. 
2/26/2026 10:36:30,48,7,"Less places to adjust code, the guide was clearler. Only required minimal changes",7,"More concise, better structured code. Changing the page required minimal changes to the code.",7,More formulaic and more of a repetitive pattern to add the feature. Less movning parts and changes where all put in one section
2/26/2026 11:33:51,55,7,"Library B contained all changes within 2-3 short sections, allowing intuitive and fast changes for the task at hand. Library A was very convoluted and had much more customizability, but was way more work for the small feature needed.",6,"B definitely was much simpler and matched the simple task. For more fine-grained and precise tasks, I can imagine a world where Library A may be used more.",6,I believe Library B matched the language as it had everything needed for the specific variable change without much else complexity and detail. 
2/26/2026 12:03:16,45,6,In my job I build configs a lot so am more familiar with them and have a personal preference for them.,6,"Easier structure, don't need to handle state ourselves as users. More flexible to change and less changes you need to make.",7,"You are able to place all the requirements in one config, using the same lanugage as described by the task e.g. set range to be 0 to 10, set default to 1, etc. Library A instead has multiple places you have to edit, such as the VariableLabel as well as VariableHitBox, whereas Library B is easier because it's all in one place."
2/26/2026 20:45:41,11,7,I found the OOP nature of Library B much easier to navigate around.,7,"For the same reason as above, but also, it feels more intuitive to have an encapsulation for the vars separated from the semantics, and both of those, separated from the Latex.",7,"If I was to describe the task to someone, I would go with Library B, since I can then talk about the different aspects of the task in strict library terms i.e. ""there's the semantics of a formula, the looks of a formula (i.e. the Latex), and then different components of the formula (the vars)"". Library B naturally gave in to this description."
2/27/2026 10:13:21,79,7,"I had to make smaller changes with Library B to add additional variable to the formula. Library A had a lot of moving components (in the html, use state, two types of wrappers) while Library B, I only had to make to two (add additional variable and the formula) and these changes made more sense.",7,"Adding a variable to a formula should be fast and quick. Especially, I would expect the library to handle things related to useState and changing state of the variable, and Library B does that.",7,Library B because formula composes of variables and formula (how variables are related to each other). Library B had these components and only these that I need to change.
2/27/2026 10:51:52,29,7,"It was way faster to just look at the code and immediately see all the moving parts at a glance, and be able to copy the behavior of v onto m. And it was way faster to finish the code.",2,"I did feel that I enjoyed more using library A, though, because it felt closer to idiomatic React code, and it feels like it would be more intuitive for more complex tasks, and it feels like it would be more extensible (as,mmmm in it would be easier to make more customizations using native React features) whereas in library B it felt more like the premade tools were handed to me, and I have to know this more specific syntax only for this library.",2,"Because of what I said in the previous answer, the kind of language in library A works more seamlessly with the rest of a React App in my opinion. With the other one maybe I would be fighting abstractions for more complicated code, rather than working with them."
2/27/2026 13:30:04,17,7,Library B was a lot more straightforward to implement and use. For someone with less experience in Typescript it would definitely be easier to use.,7,I think Library B was better for the task because the syntax needed to implement it was simpler,5,"I think language wise the library fields were labeled pretty accurately for both libraries, but I liked B's better"
2/28/2026 10:41:35,23,7,Library B had shorter amount of code so it made is so much faster to complete the task,7,The code was more concise and more intuitive what is needed to be added,4,"I feel like about the same, they were both good at it because it's just a formula"
2/28/2026 13:35:07,19,6,"Library B feels more condensed and clean. For library A, the more variables there are, I feel like the more bloated the code files feel.",4,They both accomplish the task by separating out the variables and the formulas.,6,I think VariableHitArea of library A was not easy to understand for me. The languages of library B all make sense.
2/28/2026 14:32:53,14,5,"It was just easier to work with library B. Inspite of the lack of familiarity, it was pretty straightforward.",2,"Althoough, I did like the writing section for library B. Library A, I felt, gave me more control over when compared to library B. ",1,library A seemed more familiar as I am used to working with React
2/28/2026 16:36:25,87,6,"Setting up the equation was all in one place. Little ""overhead"" could just write an equation and ""wire"" variables up directly.",6,"For these simple equations, library B was more than capable - likely because I did not have to adjust any html/css elements (size, color, positioning). If I needed to do those, the structure of Library A would likely be more useful. ",7,"From a purely writing math perspective and have it work as easily as possible - Library B. Library A felt more standard to typical React/Js usage, but also felt like it had too much overhead for the relatively simple task. With Library A I thought significantly less about creating my interactive equation and more about its JS/TS code components."
3/1/2026 15:03:37,80,7,"For library B all I had to do was add a few lines of code that were very similar to the existing code, it was very easy to implement as most of the frontend was abstracted away. For library A, I had to create React components, understand the css syntax of the Latex, and also adjust the order of the components.",7,Library B was much easier to understand and read as I didn't have to implement any of the lower-level React components.,7,"Library B matched my mental model better because it grouped the variables/components (labels, dragging functionality, displayed value) together in an intuitive way. I didn't have to worry about the order of the formulas or change many components in different places and it was more efficient to add new features."
3/1/2026 17:01:59,50,6,Library B had much more concise code so there was nowhere to go wrong.,7,Library B seemed to have much less configurability and was more specialized for this purpose; what it could do was exactly what was needed for the task.,6,"Library B made it very simple and clear with what it was trying to do, as the task was also very simple and clear, whereas library A seemed to add significant unnecessary code."
3/3/2026 20:47:41,30,3,"Library A felt easier to understand, especially making hover and drag behaviors easy to implement.",4,Both were pretty good and allows for interactive variables and formulas. ,1,I liked Library A's component-based API. 
3/5/2026 11:09:25,20,7,"While I felt that Library A was not difficult to use, there were a couple moments where I got confused or stuck while in Library B I was able to complete the task very quickly with no confusion.",6,"Along with being easier, I felt that Library B used more domain-specific naming and structure with the defining of formulas, variables, and semantics. It also provided a way to complete the task using less lines of code which is always a plus.",7,"As I said above, I think the domain-specific language was much more clear in Library B with the functions, variables, and semantics."
3/20/2026 13:35:31,99,6,"In Library A, there were multiple locations where I had to edit to make m interactive, whereas Library B was comparatively fewer lines of code. Library B felt like the initial documentation (understanding what the config was supposed to be) was a bit more intimidating, but the actual implementation was easier.",6,"Library A felt like it was just for graphics, while Library B worked more with my understanding of the formula.",4,The labels/fields/naming on both seemed pretty clear and easy to pick up in a few minutes.